管材类型,f采用值（上限）,f下限,Q_target (m³/s),n_unpr,i_unpr_str,i_unpr_val,D (m),水力计算内径 di (mm),公称外径 DN (mm),公称壁厚 en (mm),PE材料等级,PE公称压力 PN (MPa),PE标准尺寸比 SDR,产品标准,y_unpr (m),v_unpr (m/s),y/D_unpr,V_press (m/s),hf_press (m/km),hf_local_press (m/km),hf_total_press (m/km),h_loss_total (m),hf_press_f下限 (m/km),hf_local_press_f下限 (m/km),hf_total_press_f下限 (m/km),h_loss_total_f下限 (m),净空高度 (m),净空面积 (%),净空高<0.4m,净空面积(%)<15,Q_full_unpr (m³/s),Q_max_unpr (m³/s),加大比例 (%),分类,备注,产品族,产品型式,产品规格ID,公称口径代号,公称口径 (mm),口径基准,产品外径 (mm),产品公称壁厚 (mm),水力内径取值依据,等级体系,等级代码,内衬代号,内衬厚度 (mm),两端最小内径 (mm),两端最大内径 (mm),设计内径允许偏差 (mm),产品规格依据,规格表定位,钢管壁厚选取,钢管尺寸计算过程,钢管所需最小水力内径 (mm),钢管上取公称外径 DN (mm),钢管最小推荐档
HDPE管,94800.0,,1.0,0.014,1/4000,0.00025,0.0554,55.4,63,3.8,PE100,1.0,17.0,GB/T 13663.2—2018,,,,414.8495173712556,1337990.1275290071,200698.51912935107,1538688.6466583582,1538688.6466583582,,,,,,,False,False,0.00015700659497129376,0.00016889295656691684,25.0,兜底,Q>0.0002(Q_max_unpr),PE,,PE|PE100|PN1|dn63,DN,63.0,公称外径,63.0,3.8,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,1.0,0.014,1/4000,0.00025,0.066,66.0,75,4.5,PE100,1.0,17.0,GB/T 13663.2—2018,,,,292.2955795994405,580456.814572577,87068.52218588656,667525.3367584635,667525.3367584635,,,,,,,False,False,0.00025042384760105927,0.0002693824678125074,25.0,兜底,Q>0.0003(Q_max_unpr),PE,,PE|PE100|PN1|dn75,DN,75.0,公称外径,75.0,4.5,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,1.0,0.014,1/4000,0.00025,0.0792,79.2,90,5.4,PE100,1.0,17.0,GB/T 13663.2—2018,,,,202.9830413885003,243262.61476032922,36489.39221404938,279752.0069743786,279752.0069743786,,,,,,,False,False,0.0004072167874084759,0.0004380455942100636,25.0,兜底,Q>0.0004(Q_max_unpr),PE,,PE|PE100|PN1|dn90,DN,90.0,公称外径,90.0,5.4,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,1.0,0.014,1/4000,0.00025,0.0968,96.8,110,6.6,PE100,1.0,17.0,GB/T 13663.2—2018,,,,135.8812095245333,93404.76505078794,14010.71475761819,107415.47980840613,107415.47980840613,,,,,,,False,False,0.0006953863187123703,0.0007480313253401219,25.0,兜底,Q>0.0007(Q_max_unpr),PE,,PE|PE100|PN1|dn110,DN,110.0,公称外径,110.0,6.6,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,1.0,0.014,1/4000,0.00025,0.1102,110.2,125,7.4,PE100,1.0,17.0,GB/T 13663.2—2018,,,,104.84480821334272,50325.52114126834,7548.828171190251,57874.349312458595,57874.349312458595,,,,,,,False,False,0.0009825985249478416,0.001056987256026249,25.0,兜底,Q>0.0011(Q_max_unpr),PE,,PE|PE100|PN1|dn125,DN,125.0,公称外径,125.0,7.4,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,1.0,0.014,1/4000,0.00025,0.12340000000000001,123.4,140,8.3,PE100,1.0,17.0,GB/T 13663.2—2018,,,,83.61415385886922,29337.369784044375,4400.605467606656,33737.975251651034,33737.975251651034,,,,,,,False,False,0.0013286143790767048,0.0014291986311824039,25.0,兜底,Q>0.0014(Q_max_unpr),PE,,PE|PE100|PN1|dn140,DN,140.0,公称外径,140.0,8.3,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,1.0,0.014,1/4000,0.00025,0.141,141.0,160,9.5,PE100,1.0,17.0,GB/T 13663.2—2018,,,,64.04303328480272,15531.711656722498,2329.7567485083746,17861.468405230873,17861.468405230873,,,,,,,False,False,0.001895874082297334,0.002039403370898723,25.0,兜底,Q>0.0020(Q_max_unpr),PE,,PE|PE100|PN1|dn160,DN,160.0,公称外径,160.0,9.5,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,1.0,0.014,1/4000,0.00025,0.1586,158.6,180,10.7,PE100,1.0,17.0,GB/T 13663.2—2018,,,,50.61785678021126,8862.337884996381,1329.350682749457,10191.688567745838,10191.688567745838,,,,,,,False,False,0.0025943805339082126,0.002790791042322314,25.0,兜底,Q>0.0028(Q_max_unpr),PE,,PE|PE100|PN1|dn180,DN,180.0,公称外径,180.0,10.7,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,1.0,0.014,1/4000,0.00025,0.1762,176.2,200,11.9,PE100,1.0,17.0,GB/T 13663.2—2018,,,,41.01080654449151,5364.710913947907,804.706637092186,6169.417551040093,6169.417551040093,,,,,,,False,False,0.0034348486068326834,0.0036948876999325646,25.0,兜底,Q>0.0037(Q_max_unpr),PE,,PE|PE100|PN1|dn200,DN,200.0,公称外径,200.0,11.9,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,1.0,0.014,1/4000,0.00025,0.1982,198.2,225,13.4,PE100,1.0,17.0,GB/T 13663.2—2018,,,,32.41177521851972,3060.624676852113,459.09370152781696,3519.71837837993,3519.71837837993,,,,,,,False,False,0.00470076192235877,0.005056638412733639,25.0,兜底,Q>0.0051(Q_max_unpr),PE,,PE|PE100|PN1|dn225,DN,225.0,公称外径,225.0,13.4,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,1.0,0.014,1/4000,0.00025,0.2204,220.4,250,14.8,PE100,1.0,17.0,GB/T 13663.2—2018,,,,26.21120205333568,1844.4853135246037,276.6727970286905,2121.158110553294,2121.158110553294,,,,,,,False,False,0.006239111728658419,0.006711450728532193,25.0,兜底,Q>0.0067(Q_max_unpr),PE,,PE|PE100|PN1|dn250,DN,250.0,公称外径,250.0,14.8,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,1.0,0.014,1/4000,0.00025,0.24680000000000002,246.8,280,16.6,PE100,1.0,17.0,GB/T 13663.2—2018,,,,20.903538464717304,1075.2466437895796,161.28699656843693,1236.5336403580166,1236.5336403580166,,,,,,,False,False,0.008436175452025749,0.009074845642441836,25.0,兜底,Q>0.0091(Q_max_unpr),PE,,PE|PE100|PN1|dn280,DN,280.0,公称外径,280.0,16.6,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,1.0,0.014,1/4000,0.00025,0.2776,277.6,315,18.7,PE100,1.0,17.0,GB/T 13663.2—2018,,,,16.522326309899523,613.5976024773388,92.03964037160081,705.6372428489396,705.6372428489396,,,,,,,False,False,0.011543666035495325,0.012417592310134283,25.0,兜底,Q>0.0124(Q_max_unpr),PE,,PE|PE100|PN1|dn315,DN,315.0,公称外径,315.0,18.7,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,1.0,0.014,1/4000,0.00025,0.3128,312.8,355,21.1,PE100,1.0,17.0,GB/T 13663.2—2018,,,,13.012976031349163,347.19392376500457,52.079088564750684,399.27301232975526,399.27301232975526,,,,,,,False,False,0.01587095916279847,0.01707248805088678,25.0,兜底,Q>0.0171(Q_max_unpr),PE,,PE|PE100|PN1|dn355,DN,355.0,公称外径,355.0,21.1,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,1.0,0.014,1/4000,0.00025,0.3526,352.6,400,23.7,PE100,1.0,17.0,GB/T 13663.2—2018,,,,10.241073962959886,196.09109773039012,29.413664659558517,225.50476238994864,225.50476238994864,,,,,,,False,False,0.021842952618607248,0.02349659801603975,25.0,兜底,Q>0.0235(Q_max_unpr),PE,,PE|PE100|PN1|dn400,DN,400.0,公称外径,400.0,23.7,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,1.0,0.014,1/4000,0.00025,0.3966,396.6,450,26.7,PE100,1.0,17.0,GB/T 13663.2—2018,,,,8.094773455963962,111.90566197786322,16.785849296679483,128.6915112745427,128.6915112745427,,,,,,,False,False,0.02988815330124454,0.03215086970260948,25.0,兜底,Q>0.0322(Q_max_unpr),PE,,PE|PE100|PN1|dn450,DN,450.0,公称外径,450.0,26.7,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,1.0,0.014,1/4000,0.00025,0.44060000000000005,440.6,500,29.7,PE100,1.0,17.0,GB/T 13663.2—2018,,,,6.558750842664939,67.74890121375421,10.162335182063131,77.91123639581734,77.91123639581734,,,,,,,False,False,0.039567976095585856,0.042563514413992774,25.0,兜底,Q>0.0426(Q_max_unpr),PE,,PE|PE100|PN1|dn500,DN,500.0,公称外径,500.0,29.7,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,1.0,0.014,1/4000,0.00025,0.49360000000000004,493.6,560,33.2,PE100,1.0,17.0,GB/T 13663.2—2018,,,,5.225884616179326,39.408963840021876,5.911344576003281,45.320308416025156,45.320308416025156,,,,,,,False,False,0.0535663751485359,0.057621678077044804,25.0,兜底,Q>0.0576(Q_max_unpr),PE,,PE|PE100|PN1|dn560,DN,560.0,公称外径,560.0,33.2,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,1.0,0.014,1/4000,0.00025,0.5552,555.2,630,37.4,PE100,1.0,17.0,GB/T 13663.2—2018,,,,4.130581577474881,22.489022279697263,3.3733533419545894,25.862375621651854,25.862375621651854,,,,,,,False,False,0.07329771043325942,0.07884679638407752,25.0,兜底,Q>0.0788(Q_max_unpr),PE,,PE|PE100|PN1|dn630,DN,630.0,公称外径,630.0,37.4,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,1.0,0.014,1/4000,0.00025,0.6257999999999999,625.8,710,42.1,PE100,1.0,17.0,GB/T 13663.2—2018,,,,3.2511649256038573,12.70564951596595,1.9058474273948924,14.611496943360843,14.611496943360843,,,,,,,False,False,0.10086024357444305,0.1084959822258522,25.0,兜底,Q>0.1085(Q_max_unpr),PE,,PE|PE100|PN1|dn710,DN,710.0,公称外径,710.0,42.1,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,1.0,0.014,1/4000,0.00025,0.7052,705.2,800,47.4,PE100,1.0,17.0,GB/T 13663.2—2018,,,,2.5602684907399715,7.186952895357673,1.0780429343036508,8.264995829661324,8.264995829661324,,,,,,,False,False,0.1386941038594747,0.14919409763334163,25.0,兜底,Q>0.1492(Q_max_unpr),PE,,PE|PE100|PN1|dn800,DN,800.0,公称外径,800.0,47.4,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,1.0,0.014,1/4000,0.00025,0.7934,793.4,900,53.3,PE100,1.0,17.0,GB/T 13663.2—2018,,,,2.0226732287260414,4.0965353905341315,0.6144803085801197,4.7110156991142516,4.7110156991142516,,,,,,,False,False,0.18990557403754083,0.20428258999949644,25.0,兜底,Q>0.2043(Q_max_unpr),PE,,PE|PE100|PN1|dn900,DN,900.0,公称外径,900.0,53.3,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,1.0,0.014,1/4000,0.00025,0.8814,881.4,1000,59.3,PE100,1.0,17.0,GB/T 13663.2—2018,,,,1.63894366633745,2.4803847724703996,0.3720577158705599,2.8524424883409596,2.8524424883409596,,,,,,,False,False,0.251393076185736,0.2704250729418342,25.0,兜底,Q>0.2704(Q_max_unpr),PE,,PE|PE100|PN1|dn1000,DN,1000.0,公称外径,1000.0,59.3,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,1.0,0.014,1/4000,0.00025,1.0642,1064.2,1200,67.9,PE100,1.0,17.0,GB/T 13663.2—2018,,,,1.1242518462915754,1.0094703381285572,0.1514205507192836,1.1608908888478409,1.1608908888478409,,,,,,,False,False,0.4155473668462222,0.4470068495727047,25.0,经济,Q>0.4470(Q_max_unpr),PE,,PE|PE100|PN1|dn1200,DN,1200.0,公称外径,1200.0,67.9,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,1.0,0.014,1/4000,0.00025,1.2352,1235.2,1400,82.4,PE100,1.0,17.0,GB/T 13663.2—2018,,,,0.8345177004117105,0.49591545927102865,0.0743873188906543,0.570302778161683,0.570302778161683,,,,,,,False,False,0.6182886541870181,0.6650968950477396,25.0,妥协,Q>0.6651(Q_max_unpr),PE,,PE|PE100|PN1|dn1400,DN,1400.0,公称外径,1400.0,82.4,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,1.0,0.014,1/4000,0.00025,1.4118,1411.8,1600,94.1,PE100,1.0,17.0,GB/T 13663.2—2018,,,,0.6387983173731846,0.2621660373635547,0.0393249056045332,0.3014909429680879,0.3014909429680879,,,,,,,False,False,0.8829856845859018,0.9498331130819202,25.0,妥协,Q>0.9498(Q_max_unpr),PE,,PE|PE100|PN1|dn1600,DN,1600.0,公称外径,1600.0,94.1,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,1.0,0.014,1/4000,0.00025,1.5882,1588.2,1800,105.9,PE100,1.0,17.0,GB/T 13663.2—2018,1.1017539359906399,0.681831747932788,0.6937123384905175,0.504777205800014,0.14951223112663486,0.02242683466899523,0.1719390657956301,0.1719390657956301,,,,,0.4864460640093602,25.967482838629476,False,False,1.2086643157053116,1.3001676127918222,25.0,兜底,,PE,,PE|PE100|PN1|dn1800,DN,1800.0,公称外径,1800.0,105.9,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,1.0,0.014,1/4000,0.00025,1.7648,1764.8,2000,117.6,PE100,1.0,17.0,GB/T 13663.2—2018,1.0103955632968986,0.6905311062526363,0.5725269510975174,0.40880775759687216,0.09041843277203684,0.013562764915805527,0.10398119768784236,0.10398119768784236,,,,,0.7544044367031013,40.7980677633215,False,False,1.601080529117561,1.7222921388355,25.0,兜底,,PE,,PE|PE100|PN1|dn2000,DN,2000.0,公称外径,2000.0,117.6,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,1.1,0.014,1/500,0.002,0.027399999999999997,27.4,32,2.3,PE100,1.0,17.0,GB/T 13663.2—2018,,,,1865.5275976459582,45518648.07149919,6827797.210724878,52346445.28222407,52346445.28222407,,,,,,,False,False,6.79367890821619e-05,7.308002042746817e-05,25.0,兜底,Q>0.0001(Q_max_unpr),PE,,PE|PE100|PN1|dn32,DN,32.0,公称外径,32.0,2.3,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,1.1,0.014,1/500,0.002,0.0352,35.2,40,2.4,PE100,1.0,17.0,GB/T 13663.2—2018,,,,1130.3618117322112,13780057.655643132,2067008.6483464697,15847066.3039896,15847066.3039896,,,,,,,False,False,0.00013250042925676725,0.0001425315238996972,25.0,兜底,Q>0.0001(Q_max_unpr),PE,,PE|PE100|PN1|dn40,DN,40.0,公称外径,40.0,2.4,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,1.1,0.014,1/500,0.002,0.044,44.0,50,3.0,PE100,1.0,17.0,GB/T 13663.2—2018,,,,723.4315595086154,4753245.794370735,712986.8691556102,5466232.663526345,5466232.663526345,,,,,,,False,False,0.00024023926284652764,0.0002584268475666591,25.0,兜底,Q>0.0003(Q_max_unpr),PE,,PE|PE100|PN1|dn50,DN,50.0,公称外径,50.0,3.0,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,1.1,0.014,1/500,0.002,0.0554,55.4,63,3.8,PE100,1.0,17.0,GB/T 13663.2—2018,,,,456.3344691083812,1583864.2697063384,237579.64045595075,1821443.9101622892,1821443.9101622892,,,,,,,False,False,0.00044408171198084606,0.0004777014195324478,25.0,兜底,Q>0.0005(Q_max_unpr),PE,,PE|PE100|PN1|dn63,DN,63.0,公称外径,63.0,3.8,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,1.1,0.014,1/500,0.002,0.066,66.0,75,4.5,PE100,1.0,17.0,GB/T 13663.2—2018,,,,321.5251375593845,687123.7610750836,103068.56416126255,790192.3252363462,790192.3252363462,,,,,,,False,False,0.0007083056032381423,0.0007619286788919635,25.0,兜底,Q>0.0008(Q_max_unpr),PE,,PE|PE100|PN1|dn75,DN,75.0,公称外径,75.0,4.5,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,1.1,0.014,1/500,0.002,0.0792,79.2,90,5.4,PE100,1.0,17.0,GB/T 13663.2—2018,,,,223.28134552735037,287965.4757885126,43194.82136827689,331160.2971567895,331160.2971567895,,,,,,,False,False,0.001151783007158136,0.0012389800405393067,25.0,兜底,Q>0.0012(Q_max_unpr),PE,,PE|PE100|PN1|dn90,DN,90.0,公称外径,90.0,5.4,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,1.1,0.014,1/500,0.002,0.0968,96.8,110,6.6,PE100,1.0,17.0,GB/T 13663.2—2018,,,,149.4693304769866,110569.17905476181,16585.376858214273,127154.5559129761,127154.5559129761,,,,,,,False,False,0.001966849526023467,0.002115752090751843,25.0,兜底,Q>0.0021(Q_max_unpr),PE,,PE|PE100|PN1|dn110,DN,110.0,公称外径,110.0,6.6,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,1.1,0.014,1/500,0.002,0.1102,110.2,125,7.4,PE100,1.0,17.0,GB/T 13663.2—2018,,,,115.329289034677,59573.52984151807,8936.02947622771,68509.55931774578,68509.55931774578,,,,,,,False,False,0.0027792083206980714,0.0029896114254556886,25.0,兜底,Q>0.0030(Q_max_unpr),PE,,PE|PE100|PN1|dn125,DN,125.0,公称外径,125.0,7.4,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,1.1,0.014,1/500,0.002,0.12340000000000001,123.4,140,8.3,PE100,1.0,17.0,GB/T 13663.2—2018,,,,91.97556924475614,34728.51616171799,5209.277424257699,39937.79358597569,39937.79358597569,,,,,,,False,False,0.003757888948108369,0.004042384175086438,25.0,兜底,Q>0.0040(Q_max_unpr),PE,,PE|PE100|PN1|dn140,DN,140.0,公称外径,140.0,8.3,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,1.1,0.014,1/500,0.002,0.141,141.0,160,9.5,PE100,1.0,17.0,GB/T 13663.2—2018,,,,70.447336613283,18385.87791816938,2757.8816877254067,21143.759605894786,21143.759605894786,,,,,,,False,False,0.00536234167947307,0.005768303812548764,25.0,兜底,Q>0.0058(Q_max_unpr),PE,,PE|PE100|PN1|dn160,DN,160.0,公称外径,160.0,9.5,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,1.1,0.014,1/500,0.002,0.1586,158.6,180,10.7,PE100,1.0,17.0,GB/T 13663.2—2018,,,,55.679642458232394,10490.91471850662,1573.637207775993,12064.551926282613,12064.551926282613,,,,,,,False,False,0.00733801627401949,0.007893549083603124,25.0,兜底,Q>0.0079(Q_max_unpr),PE,,PE|PE100|PN1|dn180,DN,180.0,公称外径,180.0,10.7,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,1.1,0.014,1/500,0.002,0.1762,176.2,200,11.9,PE100,1.0,17.0,GB/T 13663.2—2018,,,,45.111887198940664,6350.550545240488,952.5825817860731,7303.133127026561,7303.133127026561,,,,,,,False,False,0.009715218968962224,0.010450720593380328,25.0,兜底,Q>0.0105(Q_max_unpr),PE,,PE|PE100|PN1|dn200,DN,200.0,公称外径,200.0,11.9,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,1.1,0.014,1/500,0.002,0.1982,198.2,225,13.4,PE100,1.0,17.0,GB/T 13663.2—2018,,,,35.6529527403717,3623.056679498912,543.4585019248368,4166.515181423749,4166.515181423749,,,,,,,False,False,0.01329576252817359,0.014302333246609348,25.0,兜底,Q>0.0143(Q_max_unpr),PE,,PE|PE100|PN1|dn225,DN,225.0,公称外径,225.0,13.4,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,1.1,0.014,1/500,0.002,0.2204,220.4,250,14.8,PE100,1.0,17.0,GB/T 13663.2—2018,,,,28.83232225866925,2183.4349327262717,327.5152399089407,2510.9501726352123,2510.9501726352123,,,,,,,False,False,0.017646872847659565,0.018982849286978035,25.0,兜底,Q>0.0190(Q_max_unpr),PE,,PE|PE100|PN1|dn250,DN,250.0,公称外径,250.0,14.8,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,1.1,0.014,1/500,0.002,0.24680000000000002,246.8,280,16.6,PE100,1.0,17.0,GB/T 13663.2—2018,,,,22.993892311189036,1272.8380465445941,190.9257069816891,1463.7637535262832,1463.7637535262832,,,,,,,False,False,0.02386110747762758,0.025667539567967256,25.0,兜底,Q>0.0257(Q_max_unpr),PE,,PE|PE100|PN1|dn280,DN,280.0,公称外径,280.0,16.6,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,1.1,0.014,1/500,0.002,0.2776,277.6,315,18.7,PE100,1.0,17.0,GB/T 13663.2—2018,,,,18.174558940889476,726.3546259015733,108.95319388523599,835.3078197868093,835.3078197868093,,,,,,,False,False,0.03265041813380629,0.035122254914023515,25.0,兜底,Q>0.0351(Q_max_unpr),PE,,PE|PE100|PN1|dn315,DN,315.0,公称外径,315.0,18.7,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,1.1,0.014,1/500,0.002,0.3128,312.8,355,21.1,PE100,1.0,17.0,GB/T 13663.2—2018,,,,14.31427363448408,410.9955964518993,61.64933946778489,472.6449359196842,472.6449359196842,,,,,,,False,False,0.04488985139179828,0.04828828829003339,25.0,兜底,Q>0.0483(Q_max_unpr),PE,,PE|PE100|PN1|dn355,DN,355.0,公称外径,355.0,21.1,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,1.1,0.014,1/500,0.002,0.3526,352.6,400,23.7,PE100,1.0,17.0,GB/T 13663.2—2018,,,,11.265181359255875,232.1255418201322,34.81883127301983,266.944373093152,266.944373093152,,,,,,,False,False,0.061781199671014565,0.06645841516782434,25.0,兜底,Q>0.0665(Q_max_unpr),PE,,PE|PE100|PN1|dn400,DN,400.0,公称外径,400.0,23.7,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,1.1,0.014,1/500,0.002,0.3966,396.6,450,26.7,PE100,1.0,17.0,GB/T 13663.2—2018,,,,8.904250801560357,132.46987099367078,19.870480649050617,152.3403516427214,152.3403516427214,,,,,,,False,False,0.08453646350581244,0.09093639195104115,25.0,兜底,Q>0.0909(Q_max_unpr),PE,,PE|PE100|PN1|dn450,DN,450.0,公称外径,450.0,26.7,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,1.1,0.014,1/500,0.002,0.44060000000000005,440.6,500,29.7,PE100,1.0,17.0,GB/T 13663.2—2018,,,,7.214625926931433,80.19869634053285,12.029804451079928,92.22850079161277,92.22850079161277,,,,,,,False,False,0.1119151368600639,0.1203877986930626,25.0,兜底,Q>0.1204(Q_max_unpr),PE,,PE|PE100|PN1|dn500,DN,500.0,公称外径,500.0,29.7,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,1.1,0.014,1/500,0.002,0.49360000000000004,493.6,560,33.2,PE100,1.0,17.0,GB/T 13663.2—2018,,,,5.748473077797259,46.65090455311042,6.997635682966563,53.64854023607698,53.64854023607698,,,,,,,False,False,0.15150858844444917,0.16297871724650642,25.0,兜底,Q>0.1630(Q_max_unpr),PE,,PE|PE100|PN1|dn560,DN,560.0,公称外径,560.0,33.2,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,1.1,0.014,1/500,0.002,0.5552,555.2,630,37.4,PE100,1.0,17.0,GB/T 13663.2—2018,,,,4.543639735222369,26.621690337300386,3.9932535505950577,30.614943887895443,30.614943887895443,,,,,,,False,False,0.20731723237122276,0.2230124175920647,25.0,兜底,Q>0.2230(Q_max_unpr),PE,,PE|PE100|PN1|dn630,DN,630.0,公称外径,630.0,37.4,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,1.1,0.014,1/500,0.002,0.6257999999999999,625.8,710,42.1,PE100,1.0,17.0,GB/T 13663.2—2018,,,,3.5762814181642435,15.040487876330628,2.2560731814495942,17.296561057780224,17.296561057780224,,,,,,,False,False,0.2852758487344624,0.3068729790535809,25.0,兜底,Q>0.3069(Q_max_unpr),PE,,PE|PE100|PN1|dn710,DN,710.0,公称外径,710.0,42.1,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,1.1,0.014,1/500,0.002,0.7052,705.2,800,47.4,PE100,1.0,17.0,GB/T 13663.2—2018,,,,2.8162953398139687,8.507654626751163,1.2761481940126744,9.783802820763839,9.783802820763839,,,,,,,False,False,0.39228616539850353,0.4219846325981749,25.0,兜底,Q>0.4220(Q_max_unpr),PE,,PE|PE100|PN1|dn800,DN,800.0,公称外径,800.0,47.4,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
HDPE管,94800.0,,1.1,0.014,1/500,0.002,0.7934,793.4,900,53.3,PE100,1.0,17.0,GB/T 13663.2—2018,,,,2.224940551598646,4.849330276178624,0.7273995414267936,5.576729817605417,5.576729817605417,,,,,,,False,False,0.5371340767482764,0.5777984186679807,25.0,兜底,Q>0.5778(Q_max_unpr),PE,,PE|PE100|PN1|dn900,DN,900.0,公称外径,900.0,53.3,DN-2en 名义换算,SDR,SDR17,,,,,,GB/T 13663.2—2018,,,,,,False
